1,2,3,8,15,100
2,5,1,1,0,100
3,6,1,7,0,100
5,54,1,3,15,100
6,85,1,12,0,100
7,89,1,14,0,100
8,92,1,14,0,100
9,117,1,1,0,100
10,118,1,2,0,100
11,125,1,5,0,100
12,126,1,1,0,100
13,127,1,12,0,100
14,128,1,2,0,100
15,130,1,14,0,100
16,131,7,12,0,100
17,135,1,1,0,100
18,136,1,1,0,100
19,137,1,1,0,100
20,138,1,1,0,100
21,139,1,1,0,100
22,140,1,1,0,100
23,141,5,5,10,100
24,142,4,1,0,100
25,144,1,12,0,50
26,144,1,1,0,50
27,145,1,1,0,100
28,146,1,1,0,100
29,148,3,1,0,100
30,149,1,1,0,100
32,150,1,1,0,100
33,151,1,1,0,100
34,153,4,14,0,20
35,153,4,5,0,20
36,153,4,7,0,20
37,153,4,8,0,20
38,153,4,9,0,20
39,155,1,12,0,50
40,155,1,1,0,50
41,157,1,1,0,100
42,160,1,1,0,100
43,161,1,1,0,100
44,164,1,1,0,100
45,165,1,1,0,100
46,167,1,1,0,100
47,168,1,1,0,100
48,172,1,12,0,100
49,34,1,12,0,100
50,175,5,7,0,100
51,178,1,1,0,100
52,122,1,6,0,100
53,182,1,1,0,100
54,183,1,1,0,100
55,184,3,7,0,100
56,185,2,5,15,100
57,186,1,12,0,50
58,186,1,1,0,50
59,193,1,1,0,100
60,194,1,1,0,100
61,195,7,12,0,100
62,44,1,12,0,50
63,44,1,1,0,50
64,201,1,1,0,100
65,202,1,3,0,100
66,204,1,1,0,100
67,206,1,1,0,100
68,207,1,12,0,50
69,207,1,1,0,50
70,208,4,14,20,100
71,209,1,12,0,100
72,210,1,7,25,100
73,211,1,1,0,100
74,212,1,1,0,100
75,217,1,12,0,100
76,218,1,14,0,100
77,224,7,1,0,100
78,225,1,12,0,100
79,229,1,1,0,100
80,231,1,1,0,100
81,235,1,12,0,25
82,235,1,1,0,75
83,236,1,12,0,50
84,236,1,1,0,50
85,237,1,1,0,100
86,239,1,1,0,100
87,243,1,1,0,100
88,244,1,1,0,100
89,245,1,1,0,100
90,251,1,1,0,100
91,253,1,1,0,100
92,255,1,7,0,100
93,259,1,1,0,100
94,261,1,1,0,100
95,264,1,14,0,100
96,265,1,1,0,100
97,266,1,1,0,100
98,269,1,1,0,100
99,270,1,1,0,100
100,271,1,1,0,100
101,272,1,3,0,100
102,273,1,1,0,100
103,274,1,12,0,100
104,275,1,1,0,100
105,276,1,1,0,100
106,277,1,1,0,100
107,279,1,1,0,100
108,280,1,1,0,100
109,281,1,1,0,100
110,283,1,1,0,100
111,284,1,1,0,100
112,285,7,2,0,100
113,286,1,1,0,100
114,288,3,14,0,100
115,289,1,1,0,100
116,293,1,12,0,50
